"i","cl","a","b","c","d","question","answer"
18,5,1.68876724213706,-1.25328975560769,0.183371905423701,0.859296959592029,"다음 중 옳은 것을 고르시오",4
19,9,1.66424423901962,0.642241305677824,0.048546598572284,0.826518381945789,"다음 중 옳은 것을 고르시오",2
20,9,1.6187802642435,-0.0447091368939791,0.143418167764321,0.853182181529701,"다음 중 옳은 것을 고르시오",3
21,5,1.68379547432164,-1.73321840682484,0.0697892071679235,0.801145508559421,"다음 중 옳은 것을 고르시오",3
22,5,1.65642726014621,0.00213185968026965,0.11085667014122,0.963920364296064,"다음 중 옳은 것을 고르시오",2
23,2,1.51491299667304,-0.630300333928146,0.14859448261559,0.834932335792109,"다음 중 옳은 것을 고르시오",3
24,10,1.10212966082733,-0.340968579860405,0.163939663721249,0.968616110412404,"다음 중 옳은 것을 고르시오",2
25,9,1.62396514957894,-1.15657236263585,0.173931453004479,0.833342433348298,"다음 중 옳은 것을 고르시오",1
26,1,1.4887742520942,1.80314190791747,0.00717302686534822,0.952803887007758,"다음 중 옳은 것을 고르시오",1
27,4,1.46884089865893,-0.331132036391221,0.0440048806834966,0.90378761747852,"다음 중 옳은 것을 고르시오",1
28,3,1.20584952322015,-1.60551341225308,0.0733946419321001,0.854537060670555,"다음 중 옳은 것을 고르시오",3
29,6,1.40436998897828,0.197193438739481,0.0611392884049565,0.868640627153218,"다음 중 옳은 것을 고르시오",4
30,10,1.58358831203994,0.263175646405474,0.145566091500223,0.941015068022534,"다음 중 옳은 것을 고르시오",1
31,10,1.77173591030581,-0.985826700409291,0.139945753244683,0.918307060236111,"다음 중 옳은 것을 고르시오",2
32,6,1.4794424545314,-2.88892067167955,0.182012185361236,0.893875807523727,"다음 중 옳은 것을 고르시오",2
33,4,1.57753432231187,-0.640481702565115,0.169120521936566,0.867275321111083,"다음 중 옳은 것을 고르시오",4
34,4,1.48923899188342,0.570507635920485,0.15570892803371,0.99356748573482,"다음 중 옳은 것을 고르시오",4
35,10,1.22458808863428,-0.05972327604261,0.0801686856430024,0.929168376745656,"다음 중 옳은 것을 고르시오",3
36,9,1.41700108734006,-0.0981787440052344,0.115360931772739,0.839260233845562,"다음 중 옳은 것을 고르시오",3
37,7,1.42114200925793,0.560820728620116,0.0152718892320991,0.871436077030376,"다음 중 옳은 것을 고르시오",2
38,6,1.48813732065776,-1.18645863857947,0.174594970140606,0.902603616425768,"다음 중 옳은 것을 고르시오",2
39,9,1.72000507439678,1.09677704427424,0.191257147118449,0.976599348103628,"다음 중 옳은 것을 고르시오",4
40,8,1.65263514969151,-0.00534402827816569,0.101106215966865,0.830533513054252,"다음 중 옳은 것을 고르시오",1
41,9,1.46709528074928,0.707310667398079,0.184873272757977,0.846092319488525,"다음 중 옳은 것을 고르시오",4
42,7,1.4493276639727,1.03410773473746,0.0269027065485716,0.832597715687007,"다음 중 옳은 것을 고르시오",1
43,8,1.63939267508095,0.223480414915304,0.0477474006358534,0.922869371809065,"다음 중 옳은 것을 고르시오",4
44,6,1.61133263973473,-0.878707612866019,0.0979925244115293,0.900327288778499,"다음 중 옳은 것을 고르시오",1
45,10,1.3622488610901,1.16296455596733,0.0948120193555951,0.837623777613044,"다음 중 옳은 것을 고르시오",1
46,7,1.35850096860758,-2.00016494478548,0.0869988318067044,0.881542970519513,"다음 중 옳은 것을 고르시오",3
47,3,1.57291639242737,-0.544790740001725,0.00784979201853275,0.916477609379217,"다음 중 옳은 것을 고르시오",3
48,10,1.65370658490308,-0.255670709156989,0.128866203036159,0.861785813001916,"다음 중 옳은 것을 고르시오",4
49,6,1.47753075756995,-0.166121036765006,0.143113440042362,0.89619312803261,"다음 중 옳은 것을 고르시오",2
50,8,1.67622154529084,1.02046390878411,0.0703333442565054,0.987878958461806,"다음 중 옳은 것을 고르시오",4
51,2,1.57962117607341,0.136221893102778,0.189311349764466,0.809208109648898,"다음 중 옳은 것을 고르시오",1
52,2,1.37759472134985,0.407167603423836,0.14862130144611,0.906972345942631,"다음 중 옳은 것을 고르시오",1
53,6,1.56822393828489,-0.0696548130129049,0.0101571840699762,0.888532156450674,"다음 중 옳은 것을 고르시오",3
54,6,1.27412738078384,-0.247664341619331,0.196072956174612,0.981273093912751,"다음 중 옳은 것을 고르시오",2
55,1,1.78660474034021,0.69555080661964,0.0435644905082881,0.976208476349711,"다음 중 옳은 것을 고르시오",1
56,3,1.89607997970117,1.1462283572158,0.00723920040763915,0.832648223266006,"다음 중 옳은 것을 고르시오",1
57,3,1.4265557047067,-2.40309621489187,0.0521407730877399,0.950438153138384,"다음 중 옳은 것을 고르시오",4
58,8,1.29117307473669,0.572739555245841,0.14408315718174,0.880597440432757,"다음 중 옳은 것을 고르시오",3
59,6,1.61394392548848,0.374724406778655,0.0495788362342864,0.911390538699925,"다음 중 옳은 것을 고르시오",4
60,7,1.47298907922384,-0.425267721556076,0.0469831583090127,0.816033856384456,"다음 중 옳은 것을 고르시오",4
61,6,1.98032355210096,0.951012807576816,0.00420236857607961,0.823313718475401,"다음 중 옳은 것을 고르시오",1
62,8,1.49215199945337,-0.389237181718379,0.0529241255484521,0.985038512246683,"다음 중 옳은 것을 고르시오",4
63,7,1.63794787249016,-0.284330661799574,0.138360323896632,0.975768848136067,"다음 중 옳은 것을 고르시오",3
64,1,1.50560043175613,0.857409778079803,0.00693387822248042,0.832641525380313,"다음 중 옳은 것을 고르시오",4
65,4,1.35134535822352,1.7196272991206,0.0125572259072214,0.90631278026849,"다음 중 옳은 것을 고르시오",2
66,8,1.53775845990287,0.270054900937229,0.0795412183739245,0.985958433663473,"다음 중 옳은 것을 고르시오",2
67,9,1.13900827422179,-0.42218400978764,0.0980056849773973,0.865143198752776,"다음 중 옳은 것을 고르시오",1
68,9,1.79311097231258,-1.18911329485959,0.126209749514237,0.832158926175907,"다음 중 옳은 것을 고르시오",3
69,7,1.53065066764238,-0.33103297887901,0.144680862454697,0.989941583573818,"다음 중 옳은 것을 고르시오",1
70,4,1.93452233407243,-0.939829326510021,0.0153531584888697,0.892471409728751,"다음 중 옳은 것을 고르시오",2
71,7,1.59510190577993,-0.258932583118785,0.0842892161104828,0.844154177466407,"다음 중 옳은 것을 고르시오",2
72,6,1.35801071381564,0.394379168221572,0.19474533717148,0.800403846520931,"다음 중 옳은 것을 고르시오",1
73,1,1.62214527069781,-0.851857092023863,0.162761156680062,0.923838520655409,"다음 중 옳은 것을 고르시오",3
74,5,1.31318047367115,2.64916688109488,0.0447535445913672,0.880501184426248,"다음 중 옳은 것을 고르시오",2
75,6,1.24927331995218,0.156011675665079,0.0979484611656517,0.980006522126496,"다음 중 옳은 것을 고르시오",3
76,1,1.55828924710349,1.13020726745494,0.00226803859695792,0.901176396897063,"다음 중 옳은 것을 고르시오",1
77,9,1.41134162535631,-2.28912397984011,0.0517204593867064,0.945297416206449,"다음 중 옳은 것을 고르시오",1
78,7,1.50022107032632,0.741001157195439,0.0909197543747723,0.805497322976589,"다음 중 옳은 것을 고르시오",1
79,7,1.51486826483033,-1.31624516045156,0.148195337643847,0.875882642623037,"다음 중 옳은 것을 고르시오",2
80,3,1.38209581076239,0.919803677609141,0.198132002353668,0.877348932437599,"다음 중 옳은 것을 고르시오",4
81,6,1.3862662534363,0.398130155451956,0.0664409892167896,0.867564145056531,"다음 중 옳은 것을 고르시오",4
82,2,1.47296427697523,-0.407528579269772,0.188958281092346,0.872886370262131,"다음 중 옳은 것을 고르시오",2
83,10,1.73561739931464,1.32425863017727,0.192370683979243,0.92775119394064,"다음 중 옳은 것을 고르시오",4
84,10,1.19528663991405,-0.70123166924692,0.179855499928817,0.806582865491509,"다음 중 옳은 것을 고르시오",2
85,7,1.61878923752568,-0.580614304240536,0.0985431670211256,0.939238517684862,"다음 중 옳은 것을 고르시오",1
86,3,1.5665900742427,-1.00107218102542,0.156987095577642,0.963112834934145,"다음 중 옳은 것을 고르시오",3
87,2,1.71261996745527,-0.668178606753393,0.160623809415847,0.901484570698813,"다음 중 옳은 것을 고르시오",4
88,10,1.43916321527314,0.945184953373082,0.135553524736315,0.822518525179476,"다음 중 옳은 것을 고르시오",1
89,1,1.57400376198326,0.433702149545162,0.116255515720695,0.981264660228044,"다음 중 옳은 것을 고르시오",1
90,10,1.55341975815445,1.00515921767704,0.0661336174700409,0.882667790632695,"다음 중 옳은 것을 고르시오",3
91,10,1.39149599380167,-0.390118664053679,0.000262931315228343,0.894751157565042,"다음 중 옳은 것을 고르시오",1
92,8,1.74157356119663,0.376370291774648,0.0131603928282857,0.942742836009711,"다음 중 옳은 것을 고르시오",3
93,10,1.73208052313899,0.244164924486494,0.0171903834678233,0.848374242102727,"다음 중 옳은 것을 고르시오",2
94,5,1.640042729903,-1.42625734238254,0.00262194336391985,0.85992812551558,"다음 중 옳은 것을 고르시오",4
95,7,1.81736669090817,1.77842928747545,0.067149124853313,0.940895764296874,"다음 중 옳은 것을 고르시오",2
96,8,1.61169728511306,0.134447660933676,0.0238528633024544,0.954334989609197,"다음 중 옳은 것을 고르시오",3
97,5,1.24468155830839,0.765598999157864,0.118719089077786,0.802768068108708,"다음 중 옳은 것을 고르시오",4
98,6,1.38534691715262,0.955136676908982,0.00746253514662385,0.910262790694833,"다음 중 옳은 것을 고르시오",3
99,8,1.25507747702033,-0.0505657014422701,0.00191435837186873,0.93049223809503,"다음 중 옳은 것을 고르시오",3
100,1,1.40531987271214,-0.305815419766971,0.0323192251846194,0.986332141608,"다음 중 옳은 것을 고르시오",1
101,3,1.37592666455518,0.893673702425513,0.166379797644913,0.938078341027722,"다음 중 옳은 것을 고르시오",4
102,10,1.50842317462885,-1.0472981490613,0.15336855086498,0.850753427809104,"다음 중 옳은 것을 고르시오",4
103,3,1.31781567028951,1.97133738622415,0.0545560632832348,0.882207674020901,"다음 중 옳은 것을 고르시오",3
104,1,1.53160575448082,-0.383632106288362,0.0376326597761363,0.824578222632408,"다음 중 옳은 것을 고르시오",1
105,6,1.36908307121624,1.65414530227499,0.0451523669529706,0.826393311144784,"다음 중 옳은 것을 고르시오",4
106,6,1.85345745387453,1.51221269395063,0.0123940735124052,0.928023601649329,"다음 중 옳은 것을 고르시오",4
107,4,1.64334149520344,0.082965733585914,0.0119800481945276,0.86928468644619,"다음 중 옳은 것을 고르시오",2
108,9,1.68203484589905,0.5672209148515,0.0296311740763485,0.884551320923492,"다음 중 옳은 것을 고르시오",2
109,5,1.57683707156527,-1.02454847953446,0.0145975771825761,0.987881776085123,"다음 중 옳은 것을 고르시오",2
110,1,1.83643521610388,0.323006503022436,0.00857717837207019,0.876777846179903,"다음 중 옳은 것을 고르시오",1
111,3,1.3728527092102,1.04361245835618,0.104492254462093,0.845717026200146,"다음 중 옳은 것을 고르시오",4
112,6,1.40767105392789,0.0990784868971982,0.157846297882497,0.93805573717691,"다음 중 옳은 것을 고르시오",1
113,3,1.78645644770833,-0.45413690915436,0.138950669625774,0.801971583487466,"다음 중 옳은 것을 고르시오",4
114,7,1.36986072933793,-0.65578185245044,0.013315209466964,0.937226178869605,"다음 중 옳은 것을 고르시오",4
115,3,1.45852385127961,-0.0359224226225114,0.00359154930338264,0.958334919204935,"다음 중 옳은 것을 고르시오",3
116,3,1.4214384141116,1.0691614606768,0.0884316846728325,0.901498697744682,"다음 중 옳은 것을 고르시오",3
117,1,1.4360014262903,-0.483974930301277,0.0315204166341573,0.861615249793977,"다음 중 옳은 것을 고르시오",4
118,9,1.44417733940469,-0.121010111327444,0.143772023171186,0.947442455450073,"다음 중 옳은 것을 고르시오",3
119,2,1.59883766625357,-1.29414000382084,0.140788366505876,0.860943048680201,"다음 중 옳은 것을 고르시오",2
120,8,1.46453390354608,0.494312836014856,0.177045260975137,0.95494174035266,"다음 중 옳은 것을 고르시오",3
121,6,1.39880850757715,1.30790152011415,0.0650522030424327,0.822422727569938,"다음 중 옳은 것을 고르시오",2
122,1,1.76860776503408,1.49704100940278,0.194176313327625,0.959548739995807,"다음 중 옳은 것을 고르시오",2
123,2,1.45708411829063,0.814702730897356,0.196964053250849,0.898200233466923,"다음 중 옳은 것을 고르시오",3
124,7,1.46408869399132,-1.86978879020261,0.00783694353885949,0.966583634959534,"다음 중 옳은 것을 고르시오",2
125,7,1.47996185175729,0.48202950412376,0.178714257618412,0.951684630988166,"다음 중 옳은 것을 고르시오",4
126,4,1.64253326141028,0.456135603301202,0.164479830255732,0.980429312167689,"다음 중 옳은 것을 고르시오",2
127,9,1.48528711917473,-0.353400285829911,0.144848938565701,0.855688002612442,"다음 중 옳은 것을 고르시오",4
128,8,1.49247316570659,0.170489470947982,0.0577840275596827,0.889138569962233,"다음 중 옳은 것을 고르시오",4
129,3,1.36366790424887,-0.864035954126904,0.100389720918611,0.854403147147969,"다음 중 옳은 것을 고르시오",2
130,5,1.43514594555074,0.679230774015656,0.0856694002635777,0.86598366512917,"다음 중 옳은 것을 고르시오",1
131,3,1.5120320880869,-0.327101014653104,0.122003203211352,0.972720130765811,"다음 중 옳은 것을 고르시오",1
132,4,1.38222110274807,-1.56908218514395,0.185222634812817,0.821971590677276,"다음 중 옳은 것을 고르시오",3
133,2,1.60629923852651,-0.367450756170482,0.0480246515478939,0.880451379949227,"다음 중 옳은 것을 고르시오",4
134,1,1.19632118364264,1.36443492906985,0.0543763667810708,0.881215018732473,"다음 중 옳은 것을 고르시오",4
135,7,1.56131157215795,-0.334281364731164,0.147000729292631,0.887295850971714,"다음 중 옳은 것을 고르시오",4
136,9,1.19271003529248,0.732750042209102,0.150309174600989,0.835400019260123,"다음 중 옳은 것을 고르시오",4
137,10,1.43980477463268,0.946585640197786,0.186118384171277,0.853146040020511,"다음 중 옳은 것을 고르시오",3
138,10,1.394344019111,0.00439870432637403,0.0925460549537093,0.931910002697259,"다음 중 옳은 것을 고르시오",4
139,2,1.3695810438638,-0.352322305549849,0.172138235345483,0.963211100967601,"다음 중 옳은 것을 고르시오",1
140,2,1.48862064443052,-0.529695509133504,0.0624072839040309,0.884236868936568,"다음 중 옳은 것을 고르시오",2
141,3,1.117128114864,0.739589225574796,0.0416078026872128,0.8320128608495,"다음 중 옳은 것을 고르시오",2
142,1,1.73531666240371,-1.06345741548281,0.184165493445471,0.85772202545777,"다음 중 옳은 것을 고르시오",1
143,2,1.1670055127576,0.2462108435364,0.0105473768431693,0.960425801668316,"다음 중 옳은 것을 고르시오",4
144,3,1.40729391970552,-0.289499366564312,0.0822310862131417,0.83284913636744,"다음 중 옳은 것을 고르시오",4
145,3,1.27681597899143,-2.26488935648794,0.0912682430353016,0.957958547025919,"다음 중 옳은 것을 고르시오",2
146,3,1.34983619976131,-1.40885045607319,0.0831720495130867,0.904842993989587,"다음 중 옳은 것을 고르시오",1
147,8,1.91743330912567,0.916019328792574,0.134070690348744,0.864007000532001,"다음 중 옳은 것을 고르시오",3
148,9,1.50347912393865,-0.1912789505352,0.151380816008896,0.855035417573527,"다음 중 옳은 것을 고르시오",1
149,2,1.24273989391313,0.803283216133648,0.182330262893811,0.96037960764952,"다음 중 옳은 것을 고르시오",4
150,10,1.17187889311628,1.8874744633086,0.163990417169407,0.820804886240512,"다음 중 옳은 것을 고르시오",1
151,8,1.59003742025453,1.47388118110914,0.018729970511049,0.967624453315511,"다음 중 옳은 것을 고르시오",1
152,10,1.49628803345707,0.677268492312998,0.0355812162626535,0.815852574724704,"다음 중 옳은 것을 고르시오",3
153,4,1.43638632509123,0.379962686566745,0.12844291604124,0.943512813420966,"다음 중 옳은 것을 고르시오",3
154,5,1.31412757050926,-0.192798426457334,0.174856598768383,0.972923565329984,"다음 중 옳은 것을 고르시오",4
155,9,1.2025079379717,1.5778917949044,0.118462670082226,0.995711641618982,"다음 중 옳은 것을 고르시오",4
156,5,1.28496154067686,0.596234109318454,0.0524864384438843,0.849825241509825,"다음 중 옳은 것을 고르시오",3
157,7,1.70000576074278,-1.17357694087136,0.176750452816486,0.80497213806957,"다음 중 옳은 것을 고르시오",2
158,5,1.37574666104064,-0.155642534890318,0.0375378692522645,0.844595646392554,"다음 중 옳은 것을 고르시오",1
159,6,1.2231146305231,-1.91890982026984,0.0977733964566141,0.824405099917203,"다음 중 옳은 것을 고르시오",3
160,4,1.87385812448472,-0.195258846110637,0.00196409742347896,0.877047884976491,"다음 중 옳은 것을 고르시오",1
161,2,1.58502007547449,-2.59232766994599,0.0720868086442351,0.816866094898433,"다음 중 옳은 것을 고르시오",1
162,1,1.45227057981739,1.31400216719805,0.0884323381818831,0.856516379956156,"다음 중 옳은 것을 고르시오",3
163,3,1.7116966097418,-0.635543001032135,0.0251458442769945,0.913316491758451,"다음 중 옳은 것을 고르시오",3
164,8,1.67728453027499,-0.429978838694188,0.12487290953286,0.865708460472524,"다음 중 옳은 것을 고르시오",2
165,9,1.37615139035377,-0.169318332301963,0.060486266342923,0.988694936549291,"다음 중 옳은 것을 고르시오",4
166,6,1.94122049290809,0.612218173989128,0.0479274456389248,0.875460702786222,"다음 중 옳은 것을 고르시오",2
167,1,1.4489945939718,0.6783401772227,0.0717259527184069,0.990663122478873,"다음 중 옳은 것을 고르시오",1
168,4,1.21510106995744,0.567951972471672,0.178582082502544,0.854650573525578,"다음 중 옳은 것을 고르시오",1
169,5,1.47112007960916,-0.572542603926126,0.198125453013927,0.93746603121981,"다음 중 옳은 것을 고르시오",2
170,9,1.54150766784647,-1.36329125627834,0.146484239492565,0.82739836089313,"다음 중 옳은 것을 고르시오",4
171,5,1.96159567981187,-0.388722244337901,0.198557617655024,0.962042154325172,"다음 중 옳은 것을 고르시오",4
172,8,1.52116047357874,0.277914132450543,0.107957872422412,0.952520938403904,"다음 중 옳은 것을 고르시오",3
173,4,1.59139976108468,-0.823081121572025,0.0867603523656726,0.888480966771022,"다음 중 옳은 것을 고르시오",4
174,1,1.48456941292869,-0.0688409344784646,0.192934734839946,0.891335138911381,"다음 중 옳은 것을 고르시오",4
175,9,1.43319983152669,-1.1676623261298,0.0296639286447316,0.93609101776965,"다음 중 옳은 것을 고르시오",2
176,5,1.49305479433774,-0.0083090142156068,0.0132986111566424,0.814879581797868,"다음 중 옳은 것을 고르시오",2
177,1,1.65752792112603,0.128855401597405,0.00485029760748148,0.929325815010816,"다음 중 옳은 것을 고르시오",2
178,5,1.91504900173046,-0.145875628461003,0.12248464836739,0.957982822321355,"다음 중 옳은 것을 고르시오",2
179,4,1.70547848775275,-0.163910956736068,0.139321749610826,0.844663301343098,"다음 중 옳은 것을 고르시오",4
180,10,1.74158167967734,1.76355200278492,0.160228377440944,0.808188798092306,"다음 중 옳은 것을 고르시오",3
181,10,1.25373531568839,0.762586512418318,0.0275460567791015,0.876929672667757,"다음 중 옳은 것을 고르시오",4
182,9,1.69677911401068,1.11143108073063,0.0319569645449519,0.868818430788815,"다음 중 옳은 것을 고르시오",4
183,8,1.54398496073213,-0.923206952829831,0.197766718594357,0.889273738441989,"다음 중 옳은 것을 고르시오",2
184,5,1.20654999418155,0.164341838427956,0.0797291391063482,0.87736663389951,"다음 중 옳은 것을 고르시오",1
185,5,1.60420454852963,1.15482518709727,0.0375823632348329,0.983663583081216,"다음 중 옳은 것을 고르시오",3
186,6,1.4682490790568,-0.0565214245264898,0.0955456482246518,0.834803508687764,"다음 중 옳은 것을 고르시오",1
187,6,1.79291746239396,-2.12936064823465,0.108846804546192,0.829974112473428,"다음 중 옳은 것을 고르시오",4
188,2,1.34678360007907,0.344845762099456,0.0656315961387008,0.922639845777303,"다음 중 옳은 것을 고르시오",1
189,2,1.41395764921429,-1.90495544558553,0.199986118730158,0.803448666399345,"다음 중 옳은 것을 고르시오",3
190,8,1.31477810052451,-0.811170153140217,0.105556367198005,0.813222096860409,"다음 중 옳은 것을 고르시오",4
191,4,1.46457920771269,1.3240043212996,0.0267469016369432,0.955767808295786,"다음 중 옳은 것을 고르시오",1
192,10,1.58040235589727,0.615636849302674,0.0877080135513097,0.987131225410849,"다음 중 옳은 것을 고르시오",3
193,8,1.35365036537608,1.09166895553536,0.124158787960187,0.84144082791172,"다음 중 옳은 것을 고르시오",3
194,5,1.66607463359633,0.306604861513632,0.0405824824236333,0.928668631380424,"다음 중 옳은 것을 고르시오",4
195,5,1.25838344273911,-0.110158762482857,0.0268339545466006,0.866275915037841,"다음 중 옳은 것을 고르시오",3
196,8,1.29040311743845,-0.924312773127284,0.155366799607873,0.99108431818895,"다음 중 옳은 것을 고르시오",2
197,8,1.78823154136886,1.5929137537192,0.127189969737083,0.963437831401825,"다음 중 옳은 것을 고르시오",1
198,7,1.29683050693907,0.0450105981218803,0.0564272593241185,0.948055228637531,"다음 중 옳은 것을 고르시오",2
199,4,1.5823949424635,-0.715128400667883,0.0382518912199885,0.844541195360944,"다음 중 옳은 것을 고르시오",4
200,4,1.42378478977822,0.865223099717138,0.0531073439866304,0.809144943300635,"다음 중 옳은 것을 고르시오",2
